K,n,rmse,rmse.mle
4,1024,0.03328220151138163,0.03300331009260279
4,1024,0.03496825277382121,0.03482598818687839
4,1024,0.03485590793457405,0.03472216983569679
4,1024,0.03468238162518697,0.03437374361733961
4,1024,0.0353708327159721,0.03497796390790832
4,1024,0.0347593957425282,0.03406168355171912
4,1024,0.03479347254457064,0.03377944506566879
4,1024,0.03386928266028577,0.03338730768458812
4,1024,0.03445928172469918,0.03388870562605251
4,1024,0.03424146243904321,0.03359894777835007
4,1024,0.0345244204382218,0.03420535478539524
4,1024,0.03479199423115148,0.03434059106523727
4,1024,0.03439592663013305,0.03369204755348293
4,1024,0.03412690759217452,0.03338293234143225
4,1024,0.03415616721280211,0.03364151771395069
4,1024,0.03422354229808166,0.03369279875763718
4,1024,0.03433559382653232,0.03437966254075513
