K,n,rmse,rmse.mle
4,2048,0.02698080922250416,0.02793955656255845
4,2048,0.02682108649052536,0.02765851817739702
4,2048,0.02700531587405667,0.02776652237210317
4,2048,0.026846425847357,0.02765711956553432
4,2048,0.02656607632592876,0.02733737990136007
4,2048,0.02680304166593113,0.02777508375533791
4,2048,0.02687267548457485,0.02767610678232784
4,2048,0.02643722040790355,0.02742306786563269
4,2048,0.02684974520982858,0.02757070782409206
4,2048,0.02680950753103789,0.02772589085918055
4,2048,0.02687148054910891,0.02768051712266232
4,2048,0.02697442711884163,0.02768112509688752
4,2048,0.02651834918018886,0.02728675303058528
4,2048,0.02710619987719128,0.02811578970969505
4,2048,0.02692509034371345,0.02782406344393128
4,2048,0.02667166333408048,0.02750844834223708
4,2048,0.027160398648532,0.02794778929022841
4,2048,0.0267808515789131,0.02761298878294502
4,2048,0.02751229244927222,0.02821289262452006
4,2048,0.02696927706221166,0.02777099608602522
4,2048,0.02681169211850334,0.0277124972992768
4,2048,0.02702624148800326,0.02764128068379465
4,2048,0.02688740313342105,0.02766390065242146
4,2048,0.02664201130490351,0.02782757408394163
4,2048,0.02683523692854619,0.02775286172743776
4,2048,0.02687340293393043,0.02771371457854653
4,2048,0.02661903722396634,0.02744669287207132
4,2048,0.02686611253187735,0.02771645752848253
4,2048,0.02693041798912217,0.02768734872948894
4,2048,0.02663543215974062,0.02745597864556143
4,2048,0.02680106676972379,0.02768925973792673
4,2048,0.02652720105421063,0.02752891224049387
4,2048,0.02695094724180202,0.02783154821881445
4,2048,0.02656383689486435,0.02756082982554433
4,2048,0.02712304861049867,0.0278415136560296
4,2048,0.02692370322602126,0.02772379437777428
4,2048,0.0267323925103635,0.02749815229845012
4,2048,0.02718133030894354,0.02786690040951492
4,2048,0.0265299445621646,0.02749717183860635
4,2048,0.027085091971162,0.02792292356998661
4,2048,0.02654158590972238,0.02746802175933407
4,2048,0.02664070131283823,0.02752742409053079
4,2048,0.02721353030040105,0.02804780091891485
4,2048,0.02671517089563735,0.02769244830234382
4,2048,0.02679161328938108,0.02765427331987491
4,2048,0.02716303728683663,0.02805304719640483
4,2048,0.02663955613663769,0.02740266330660854
4,2048,0.02645114502152407,0.02741045822289875
4,2048,0.02689250950243947,0.0275522931364812
4,1024,0.03791880662812665,0.03889319646039786
4,1024,0.03798401860248307,0.03926941306233188
4,1024,0.03796309576839391,0.03946100984367076
4,1024,0.03813168514161321,0.03925686547241583
4,1024,0.03820378424639639,0.03935405920120442
4,1024,0.03821680187786246,0.03924268757955866
4,1024,0.03772780063234328,0.03881019242050309
4,1024,0.03811062519282307,0.0391018772417465
4,1024,0.03848640955695142,0.03951397454903806
4,1024,0.03767541363602266,0.0387954442844589
4,1024,0.03802237224771908,0.03920440575887952
4,1024,0.03801935995973204,0.03921523920320718
4,1024,0.03781330557861669,0.0390681557663598
4,1024,0.03879207456201656,0.03990454028893306
4,1024,0.03704309928595362,0.03826645211071773
4,1024,0.03752121251829615,0.03851581966566834
4,1024,0.03784218703519451,0.03952075467415581
4,1024,0.03819368415165982,0.03910567247240223
4,1024,0.03822236573612133,0.03901773521337874
4,1024,0.03814278567304705,0.03935110157857746
4,1024,0.03813373783525917,0.03956746229845975
4,1024,0.03821505324224154,0.0393695984807715
4,1024,0.03802008437449859,0.03930702028673366
4,1024,0.03793866906196454,0.03912515065540565
4,1024,0.03731602955048369,0.03852409620342462
4,1024,0.03742099557882589,0.03867333742633885
4,1024,0.03770032586544232,0.03879645882983593
4,1024,0.03770220930832362,0.03913245856074045
4,1024,0.03819055635344021,0.03914017749558936
4,1024,0.03809214159848008,0.03893610837828963
4,1024,0.03785480975677068,0.03889570765407846
4,1024,0.0380225859636644,0.03901377792077967
4,1024,0.03786086297219111,0.039300394341036
4,1024,0.03769803743685659,0.03894128349294491
4,1024,0.03714672163095486,0.03826265717290684
4,1024,0.0380342401796318,0.03929007168805946
4,1024,0.03784135837907688,0.0391728395944662
4,1024,0.0386444915393725,0.03953508983715509
4,1024,0.03891111546463959,0.0398032767193514
4,1024,0.03744089336726389,0.03844169996309884
4,1024,0.03846077491615066,0.03927444311984101
4,1024,0.03737913567652227,0.03843951601490419
4,1024,0.03803112965114619,0.03934449738718051
4,1024,0.03823666542840023,0.0395882857543515
4,1024,0.03804763854057593,0.03915762712523691
