K,n,error,error.ssc,error.mm
4,2048,0.19091796875,0.00634765625,0.06982421875
4,2048,0.00390625,0.005859375,0.18505859375
4,2048,0.001953125,0.02880859375,0.185546875
4,2048,0.00244140625,0.025390625,0.1826171875
4,2048,0.005859375,0.0078125,0.18310546875
4,2048,0.00146484375,0.14794921875,0.1689453125
4,2048,0.0029296875,0.00390625,0.07568359375
4,2048,0.0078125,0.00830078125,0.18603515625
4,2048,0.1142578125,0.00244140625,0.18798828125
4,2048,0.0029296875,0.009765625,0.18359375
4,2048,0.00439453125,0.01171875,0.1904296875
4,2048,0.00341796875,0.00537109375,0.19287109375
4,2048,0.005859375,0.0078125,0.1875
4,2048,0.001953125,0.015625,0.0830078125
4,2048,0.00390625,0.00537109375,0.18701171875
4,2048,9.765625e-4,0.001953125,0.18896484375
4,2048,0.0029296875,0.00634765625,0.08203125
4,2048,0.00341796875,0.005859375,0.07568359375
4,2048,9.765625e-4,0.0048828125,0.1787109375
4,2048,0.00341796875,0.00634765625,0.18310546875
4,2048,0.005859375,0.0048828125,0.18798828125
4,2048,0.0029296875,0.00927734375,0.1884765625
4,2048,0.12744140625,0.00341796875,0.1904296875
4,2048,0.00439453125,0.00830078125,0.19921875
4,2048,0.005859375,0.009765625,0.1875
4,2048,0.15478515625,0.00439453125,0.18505859375
4,2048,0.00244140625,0.00390625,0.181640625
4,2048,0.00537109375,0.01611328125,0.07958984375
4,2048,0.00341796875,0.00927734375,0.07177734375
4,2048,0.0068359375,0.1181640625,0.18896484375
4,2048,0.06982421875,0.02685546875,0.181640625
4,2048,0.00146484375,0.009765625,0.18994140625
4,2048,0.00341796875,0.119140625,0.06884765625
4,2048,0.00390625,0.005859375,0.18798828125
4,2048,0.00439453125,0.03564453125,0.0849609375
4,2048,0.00390625,0.009765625,0.185546875
4,2048,0.00244140625,0.00634765625,0.0810546875
4,2048,0.0029296875,0.03515625,0.1748046875
4,2048,0.0732421875,0.00537109375,0.07861328125
4,1024,0.10546875,0.0166015625,0.0966796875
4,1024,0.1240234375,0.0185546875,0.0859375
4,1024,0.03515625,0.0068359375,0.2080078125
4,1024,0.109375,0.0244140625,0.0849609375
4,1024,0.1484375,0.017578125,0.0830078125
4,1024,0.0791015625,0.037109375,0.09375
4,1024,0.169921875,0.013671875,0.1904296875
4,1024,0.017578125,0.0166015625,0.078125
4,1024,0.1259765625,0.01953125,0.197265625
4,1024,0.03125,0.1640625,0.189453125
4,1024,0.025390625,0.1416015625,0.2138671875
4,1024,0.0146484375,0.1396484375,0.1865234375
4,1024,0.0224609375,0.0263671875,0.171875
4,1024,0.029296875,0.0087890625,0.08984375
4,1024,0.03515625,0.0126953125,0.083984375
4,1024,0.1103515625,0.0234375,0.0810546875
4,1024,0.0888671875,0.0078125,0.078125
4,1024,0.083984375,0.0166015625,0.0859375
4,1024,0.1259765625,0.11328125,0.181640625
4,1024,0.0625,0.015625,0.15234375
4,1024,0.0263671875,0.015625,0.1708984375
4,1024,0.07421875,0.0078125,0.1865234375
4,1024,0.0341796875,0.0185546875,0.1845703125
4,1024,0.103515625,0.0029296875,0.0732421875
4,1024,0.0361328125,0.01171875,0.068359375
4,1024,0.0283203125,0.02734375,0.1689453125
4,1024,0.0029296875,0.001953125,0.212890625
4,1024,0.1025390625,0.0166015625,0.181640625
4,1024,0.0224609375,0.0478515625,0.1962890625
4,1024,0.025390625,0.0126953125,0.1875
4,1024,0.0224609375,0.0078125,0.0751953125
4,1024,0.0107421875,0.0126953125,0.19140625
4,1024,0.025390625,0.0048828125,0.0810546875
4,1024,0.0888671875,0.015625,0.1962890625
