K,n,error.osc,error.ssc.A,error.louvain,error.ssc.ase
4,4096,2.44140625e-4,4.8828125e-4,0.654296875,0
4,4096,0,7.32421875e-4,0.655029296875,0.01416015625
4,4096,0,7.32421875e-4,0.6630859375,0
4,4096,0,4.8828125e-4,0.649169921875,2.44140625e-4
4,2048,0,0,0.65234375,0.00634765625
4,2048,0,4.8828125e-4,0.65283203125,4.8828125e-4
4,2048,4.8828125e-4,4.8828125e-4,0.6513671875,0.00341796875
4,2048,4.8828125e-4,4.8828125e-4,0.64990234375,4.8828125e-4
4,2048,0.00146484375,0.3779296875,0.6484375,0.00927734375
4,2048,9.765625e-4,0,0.65625,0.00634765625
4,2048,9.765625e-4,9.765625e-4,0.6455078125,0.001953125
4,2048,9.765625e-4,9.765625e-4,0.65234375,0.0126953125
4,2048,9.765625e-4,0,0.650390625,0.0029296875
4,2048,0.001953125,0,0.658203125,0.2353515625
4,2048,0,9.765625e-4,0.6376953125,0.00341796875
4,2048,4.8828125e-4,9.765625e-4,0.6552734375,0.0068359375
4,2048,4.8828125e-4,0.34033203125,0.658203125,0.00732421875
4,2048,0,0.00244140625,0.65869140625,0
4,2048,4.8828125e-4,0.001953125,0.65087890625,0
4,2048,0.001953125,0,0.65283203125,0.0166015625
4,2048,0.00146484375,4.8828125e-4,0.65185546875,4.8828125e-4
4,2048,4.8828125e-4,0,0.6611328125,4.8828125e-4
4,2048,4.8828125e-4,9.765625e-4,0.646484375,4.8828125e-4
4,2048,0.00146484375,0,0.66015625,4.8828125e-4
4,2048,0,9.765625e-4,0.6484375,0
4,2048,0.00146484375,9.765625e-4,0.6328125,0.00927734375
4,2048,4.8828125e-4,4.8828125e-4,0.650390625,4.8828125e-4
4,2048,4.8828125e-4,0,0.6591796875,0.001953125
4,2048,4.8828125e-4,0,0.6455078125,0.0078125
4,2048,4.8828125e-4,0,0.646484375,0.00390625
4,2048,9.765625e-4,0,0.6396484375,4.8828125e-4
4,2048,0,0,0.654296875,0.001953125
4,2048,0,0,0.64501953125,0
4,2048,9.765625e-4,9.765625e-4,0.64990234375,9.765625e-4
4,2048,4.8828125e-4,4.8828125e-4,0.65771484375,0.00146484375
4,2048,0,9.765625e-4,0.640625,9.765625e-4
4,2048,9.765625e-4,4.8828125e-4,0.65576171875,0.00146484375
4,2048,0,9.765625e-4,0.65625,9.765625e-4
4,2048,0,4.8828125e-4,0.6474609375,9.765625e-4
4,2048,4.8828125e-4,4.8828125e-4,0.654296875,4.8828125e-4
4,2048,4.8828125e-4,9.765625e-4,0.63916015625,0.00146484375
4,2048,4.8828125e-4,0,0.64892578125,0.005859375
4,2048,9.765625e-4,0,0.66552734375,0.001953125
4,2048,4.8828125e-4,0,0.6533203125,0.01025390625
4,2048,9.765625e-4,0.00146484375,0.65478515625,9.765625e-4
4,2048,0,0,0.66064453125,4.8828125e-4
4,2048,9.765625e-4,0,0.66064453125,4.8828125e-4
4,2048,0,0,0.640625,4.8828125e-4
4,2048,4.8828125e-4,4.8828125e-4,0.66455078125,0.01220703125
4,2048,4.8828125e-4,0,0.64501953125,0
4,2048,9.765625e-4,0,0.64013671875,4.8828125e-4
4,2048,9.765625e-4,0,0.65576171875,0.001953125
4,2048,9.765625e-4,9.765625e-4,0.6552734375,0.00244140625
4,2048,4.8828125e-4,0,0.64892578125,0
4,1024,0.013671875,0.00390625,0.634765625,0.0146484375
4,1024,0.005859375,0.001953125,0.634765625,0.0146484375
4,1024,0.0068359375,0,0.6572265625,0.2431640625
4,1024,0.0068359375,0.001953125,0.640625,0.01171875
4,1024,0.00390625,9.765625e-4,0.6513671875,0.0126953125
4,1024,0.0078125,0.0029296875,0.650390625,0.01171875
4,1024,0.00390625,9.765625e-4,0.6494140625,0.009765625
4,1024,0.00390625,9.765625e-4,0.6552734375,0.03125
4,1024,0.0068359375,9.765625e-4,0.6396484375,0.0087890625
4,1024,0.0048828125,0.001953125,0.62890625,0.01171875
4,1024,0.00390625,0,0.642578125,0.013671875
4,1024,0.00390625,9.765625e-4,0.6513671875,0.0126953125
4,1024,0.0048828125,0.00390625,0.65234375,0.263671875
4,1024,0.0068359375,9.765625e-4,0.634765625,0.0126953125
4,1024,0.005859375,0.0029296875,0.6533203125,0.0107421875
4,1024,0.0029296875,0,0.6201171875,0.017578125
4,1024,0.0068359375,0.001953125,0.6572265625,0.0087890625
4,1024,0.0029296875,0.0068359375,0.63671875,0.005859375
4,1024,0.001953125,9.765625e-4,0.6396484375,0.0087890625
4,1024,0.00390625,0,0.6259765625,0.015625
4,1024,0.009765625,9.765625e-4,0.654296875,0.0224609375
4,1024,0.0048828125,0.0029296875,0.6435546875,0.009765625
4,1024,0.0029296875,0.001953125,0.646484375,0.0107421875
4,1024,0.005859375,0.0029296875,0.65234375,0.0126953125
4,1024,0.005859375,9.765625e-4,0.654296875,0.0234375
4,1024,0.001953125,9.765625e-4,0.6552734375,0.0029296875
4,1024,0.005859375,0.001953125,0.6455078125,0.01171875
4,1024,0.0029296875,0,0.654296875,0.01171875
4,1024,0.005859375,0,0.654296875,0.01171875
4,1024,0.0078125,0.0029296875,0.6572265625,0.01171875
4,1024,0.005859375,9.765625e-4,0.6484375,0.009765625
4,1024,0.0078125,0,0.666015625,0.01171875
4,1024,0.0087890625,9.765625e-4,0.6435546875,0.01171875
4,1024,0.0048828125,0.001953125,0.6240234375,0.009765625
4,1024,0.005859375,9.765625e-4,0.646484375,0.259765625
4,1024,0.0068359375,9.765625e-4,0.650390625,0.0166015625
4,1024,0.005859375,0.001953125,0.6455078125,0.0146484375
4,1024,0.005859375,0.001953125,0.654296875,0.005859375
4,1024,0.005859375,9.765625e-4,0.6396484375,0.0078125
4,1024,0.0029296875,0,0.6533203125,0.001953125
4,1024,0.0068359375,0.00390625,0.6318359375,0.0087890625
4,1024,0.0078125,0,0.6484375,0.0068359375
4,1024,0.0068359375,0.0029296875,0.6396484375,0.01171875
4,1024,0.0029296875,9.765625e-4,0.6279296875,0.0068359375
