n,rmse,rmse.mle
1024,0.03642457319573142,0.03488858013656388
1024,0.03511981130641435,0.03484713044234063
1024,0.035866100096389214,0.03499265811758196
1024,0.03660708723483127,0.03680566682263679
1024,0.034358109963060615,0.033895220418487346
1024,0.036417763008026634,0.035322218052693685
1024,0.03619872131585359,0.034405056985677036
1024,0.0349986240461954,0.03536369684641108
1024,0.03656786414289949,0.03719294312119876
1024,0.034675939981462,0.033502047373847724
1024,0.035203982076104486,0.035093001955764015
1024,0.038387632708175384,0.043115943746038464
1024,0.03622442610225984,0.034746276100103717
1024,0.03561534838951231,0.033898846045359324
1024,0.036556405824706005,0.03666888553875096
1024,0.03406362709551557,0.03307710047294321
1024,0.03516097632162487,0.0342014750033831
1024,0.03726906781325606,0.038246361072783626
1024,0.035922224065304965,0.034441065245848036
1024,0.035207634737507494,0.03396566378502101
1024,0.03565922600228824,0.033535249355889314
1024,0.034573772378237895,0.03388974786442556
1024,0.03653978076707833,0.036086442388883186
1024,0.037697372527877006,0.038213440388054
1024,0.03541428251989617,0.03445466457372791
1024,0.03499269605814451,0.03755277217329999
1024,0.03642147762390053,0.03498753298156541
1024,0.03658502479742714,0.03799680907108096
1024,0.0351511258272544,0.03470950225102277
1024,0.03467203342933689,0.034021431164706385
1024,0.034853677787118856,0.03428072396360116
1024,0.03781931996730267,0.03855061809059781
1024,0.0345929189097043,0.03402288034300479
1024,0.03466645865438149,0.03396174749134543
1024,0.036553550809862605,0.03539608304116214
1024,0.03649898436030758,0.03752461478381632
1024,0.03522659178322513,0.03358266923797104
1024,0.03608306428579272,0.038572692362493895
1024,0.0345058102115866,0.033566277547048225
1024,0.03539175159353207,0.03362320489876257
1024,0.034831636339555855,0.034385548368472754
1024,0.03411709446239006,0.034757883190785925
1024,0.03602618704609768,0.03688698629291668
1024,0.03673314341314343,0.039357952618897386
1024,0.03480268237092832,0.03365509761432681
