K,n,rho,rmse,rmse.mle
3,2048,0.4,0.04371871255273532,0.04122926170867101
3,2048,0.4,0.04295226757997446,0.04055353552757661
3,2048,0.4,0.042721828259681585,0.04023046826018348
3,2048,0.4,0.04290695537311135,0.04072089325447918
3,2048,0.4,0.04370827504269825,0.04120430414998268
3,2048,0.4,0.04291413555070173,0.04072665525460234
3,2048,0.4,0.04250531747225975,0.04016353639749084
3,2048,0.4,0.04338542079406438,0.041281948327443585
3,2048,0.4,0.042263509262435654,0.0399949391020299
3,2048,0.4,0.04257636896569981,0.040192074360687204
3,2048,0.4,0.04331465172128721,0.041086390121835674
3,2048,0.4,0.04324397264642722,0.04086648852869093
3,2048,0.4,0.042604143729042226,0.04026543807253085
3,2048,0.4,0.04360974325435273,0.04091847756900066
3,2048,0.4,0.04373079330364191,0.04200876325031911
3,2048,0.4,0.043567177715555384,0.04109439480055572
3,2048,0.4,0.04370784392015038,0.04148273619923662
3,2048,0.4,0.044135487605833225,0.04181186177649784
3,2048,0.4,0.0429487778237434,0.040778336892466335
3,2048,0.4,0.042493118466701084,0.040520730433744746
3,2048,0.4,0.04318722712258316,0.0407527727137008
3,2048,0.4,0.04375552394402157,0.04122399590890097
3,2048,0.4,0.04257607450308889,0.040178943031768194
3,2048,0.4,0.04411826121651877,0.041760308784920305
3,2048,0.4,0.04424986720625515,0.04154236121604157
3,2048,0.4,0.043639251371190825,0.04134851127535332
3,2048,0.4,0.04354590827627493,0.041455773815238496
3,2048,0.4,0.04349673975453391,0.041131135149061686
3,2048,0.4,0.0427121925978501,0.04069615755125262
3,2048,0.4,0.04362195381660132,0.04151658044296082
3,2048,0.4,0.04269398004683397,0.040460903735975544
3,2048,0.4,0.04290481256765157,0.041098830539904395
3,2048,0.4,0.043673931109211674,0.04097242703696246
3,2048,0.4,0.042887472736961134,0.04088177701400281
3,2048,0.4,0.04397369209774255,0.04140145600725801
3,2048,0.4,0.0434903914281708,0.041328696240645245
3,2048,0.4,0.04267801733372753,0.04047171086063632
3,2048,0.4,0.0437240397318299,0.04134667477568571
3,2048,0.4,0.04318686252677544,0.040609499592738636
3,2048,0.4,0.04371535180721237,0.04124043625368808
3,2048,0.4,0.04300313667785776,0.04051973994698654
3,2048,0.4,0.04329183845032387,0.04110482131849563
3,2048,0.4,0.04306719213468993,0.040660040560051486
3,2048,0.4,0.04356892020572244,0.0411302362928729
3,2048,0.4,0.04356115690389723,0.04164819914341034
3,2048,0.5,0.036983806079033975,0.03544844282861977
3,2048,0.5,0.037468784844357256,0.036000459812960406
3,2048,0.5,0.03727505775663623,0.03558840962035209
3,2048,0.5,0.037897426895912266,0.03651990803228601
3,2048,0.5,0.03767564795660658,0.03615919135864259
3,2048,0.5,0.03669440358732575,0.03484685789765156
3,2048,0.5,0.03731328774962982,0.035632975834592656
3,2048,0.5,0.037251046345678204,0.035652691531570184
3,2048,0.5,0.0373016086022813,0.035566307271852955
3,2048,0.5,0.038275508417884116,0.036784263558710444
3,2048,0.5,0.03723843702302399,0.03565473888525302
3,2048,0.5,0.038031074529036306,0.03647713897777135
3,2048,0.5,0.03667179731183304,0.03497014339714051
3,2048,0.5,0.037018999408996035,0.03549131682027378
3,2048,0.5,0.03740144509440476,0.03593771966571324
3,2048,0.5,0.03728916564377985,0.035884947320804994
3,2048,0.5,0.03741131125348324,0.035613719485781674
3,2048,0.5,0.037431315011107705,0.035850820372123594
3,2048,0.5,0.03741928823098856,0.03578600841688675
3,2048,0.5,0.03724098051018112,0.03546006879593982
3,2048,0.5,0.03740420156342626,0.03571400991949323
3,2048,0.5,0.03756151944779424,0.03596013751891581
3,2048,0.5,0.0376046087570576,0.03577884320258621
3,2048,0.5,0.03634930955965799,0.03475679798682017
3,2048,0.5,0.03675818795500734,0.03526639030638117
3,2048,0.5,0.0370607637496188,0.03528092675124833
3,2048,0.5,0.0378934333555999,0.03614901899802547
3,2048,0.5,0.03785842852342276,0.03628001595054082
3,2048,0.5,0.03797509086639099,0.0360402387367901
3,2048,0.5,0.037484649023965505,0.036162641332903485
3,2048,0.5,0.03801173156615619,0.03668059139959897
3,2048,0.5,0.03692398362541532,0.035638361533792094
3,2048,0.5,0.037699616501669156,0.03585975530674376
3,2048,0.5,0.03628139654234702,0.03467650576681509
3,2048,0.5,0.0380122299045792,0.03627441385298374
3,2048,0.5,0.03747347471104069,0.03582837633792332
3,2048,0.5,0.037146654255040164,0.03505443344721994
3,2048,0.5,0.037350742341332684,0.03565240211924206
3,2048,0.5,0.03745150454958759,0.035622522437785104
3,2048,0.5,0.03765762754204698,0.03603720397513991
3,2048,0.5,0.03747892798280374,0.03556279582141964
3,2048,0.5,0.03760723933912129,0.036059300891072114
3,2048,0.5,0.037079105711579276,0.035761797994049715
3,2048,0.5,0.03763404664931718,0.036071367016908475
3,2048,0.5,0.03760465271605689,0.03577094399153502
3,2048,0.5,0.03732042490203283,0.03564736508450863
3,2048,0.5,0.03703843105217431,0.03529553369914207
3,2048,0.5,0.03718102685759802,0.035602223791414096
3,2048,0.5,0.037421576346667644,0.0361193233833125
3,2048,0.5,0.0374984277521826,0.0357957973734882
3,2048,0.6,0.03278832563596933,0.03189759743228501
3,2048,0.6,0.03259925670316875,0.031481970466000236
3,2048,0.6,0.032373283933323574,0.03132059373789339
3,2048,0.6,0.03344899075294853,0.0322192332708324
3,2048,0.6,0.03348682524793051,0.03220929005196564
