n,error,error.ssc
2048,4.8828125e-4,0.0029296875
2048,0,0.0107421875
2048,0,0.0048828125
2048,0.001953125,0.009765625
2048,0,0.04296875
2048,0.00146484375,0
2048,9.765625e-4,0.005859375
2048,9.765625e-4,0.0078125
2048,9.765625e-4,0.01025390625
2048,0,0
2048,9.765625e-4,0.03857421875
2048,0,0.00244140625
2048,4.8828125e-4,0
2048,4.8828125e-4,0.009765625
2048,0,0.0224609375
2048,4.8828125e-4,0.01123046875
2048,4.8828125e-4,0.0654296875
2048,4.8828125e-4,9.765625e-4
2048,9.765625e-4,0.02734375
2048,9.765625e-4,0.00341796875
2048,0,4.8828125e-4
2048,4.8828125e-4,0.0478515625
2048,4.8828125e-4,0.0458984375
2048,0.00244140625,0.04931640625
2048,9.765625e-4,0.00244140625
2048,4.8828125e-4,4.8828125e-4
2048,4.8828125e-4,0.01513671875
2048,0,4.8828125e-4
2048,0.001953125,0.00439453125
2048,0,0.03955078125
2048,0.00244140625,0.0029296875
2048,0,0.00390625
2048,0.00146484375,0.0087890625
2048,9.765625e-4,0.0244140625
2048,4.8828125e-4,0.02294921875
2048,9.765625e-4,0.08984375
2048,0.00146484375,0.04345703125
2048,0.001953125,0.037109375
2048,4.8828125e-4,4.8828125e-4
2048,9.765625e-4,0.00732421875
2048,0.005859375,0.01806640625
2048,0.001953125,0.02685546875
2048,4.8828125e-4,0.00390625
2048,0,9.765625e-4
2048,0.001953125,0.00244140625
2048,0,0.00244140625
2048,0.00146484375,0.0087890625
2048,9.765625e-4,0.015625
2048,0.00146484375,0.0048828125
2048,9.765625e-4,0.068359375
2048,9.765625e-4,0.0205078125
2048,0.00244140625,0.0302734375
2048,0,0.490234375
2048,4.8828125e-4,0.0107421875
2048,4.8828125e-4,0.03857421875
2048,4.8828125e-4,0.01025390625
2048,4.8828125e-4,0.0126953125
2048,0.00146484375,9.765625e-4
