K,n,rho,error.osc,error.ssc.ase,error.louvain,error.ssc.A
3,2048,0.5,0.00732421875,0.2705078125,0.04833984375,0.01806640625
3,2048,0.5,0.00732421875,0.013671875,0.05029296875,0.02197265625
3,2048,0.5,0.0087890625,0.12939453125,0.05126953125,0.01220703125
3,2048,0.5,0.01220703125,0.0361328125,0.0595703125,0.02001953125
3,2048,0.5,0.01904296875,0.02392578125,0.05712890625,0.015625
3,2048,0.5,0.0048828125,0.0126953125,0.056640625,0.02294921875
3,2048,0.5,0.01025390625,0.02392578125,0.05419921875,0.013671875
3,2048,0.5,0.0068359375,0.01416015625,0.05615234375,0.01220703125
3,2048,0.5,0.00537109375,0.01708984375,0.05419921875,0.017578125
3,2048,0.5,0.00830078125,0.0048828125,0.05224609375,0.02197265625
3,2048,0.7000000000000001,0.00244140625,0.00244140625,0.05419921875,0.01171875
3,2048,0.7000000000000001,0.001953125,0.00341796875,0.0537109375,0.0087890625
3,2048,0.7000000000000001,0.001953125,0.0087890625,0.0498046875,0.0087890625
3,2048,0.7000000000000001,0.00341796875,0.0107421875,0.0498046875,0.0146484375
3,2048,0.7000000000000001,0.00439453125,0.0048828125,0.0546875,0.0126953125
3,2048,0.7000000000000001,0.001953125,0.00537109375,0.05615234375,0.0107421875
3,2048,0.7000000000000001,0.00439453125,0.00390625,0.0576171875,0.00830078125
3,2048,0.7000000000000001,0.00146484375,0.0048828125,0.05908203125,0.01806640625
3,2048,0.7000000000000001,0.00244140625,0.00341796875,0.0537109375,0.0146484375
3,2048,0.7000000000000001,0.00244140625,0.00439453125,0.05908203125,0.009765625
3,2048,0.7000000000000001,0.00390625,0.0029296875,0.0546875,0.009765625
3,2048,0.7000000000000001,0.00390625,0.01123046875,0.0517578125,0.00390625
3,2048,0.7000000000000001,0.0029296875,0.00537109375,0.05615234375,0.0166015625
3,2048,0.7000000000000001,0.001953125,0.0048828125,0.06787109375,0.0087890625
3,2048,0.7000000000000001,0.00146484375,0.00634765625,0.05908203125,0.01416015625
3,2048,0.7000000000000001,0.00244140625,0.00439453125,0.05078125,0.0068359375
3,2048,0.7000000000000001,0.0029296875,0.009765625,0.05322265625,0.009765625
3,2048,0.7000000000000001,0.00537109375,0.0029296875,0.0595703125,0.0068359375
3,2048,0.7000000000000001,0.00341796875,0.0029296875,0.05224609375,0.0126953125
3,2048,0.7000000000000001,0.00634765625,0.005859375,0.05322265625,0.0126953125
3,2048,0.7000000000000001,0.00439453125,0.00244140625,0.056640625,0.00732421875
3,2048,0.7000000000000001,0.00146484375,0.00634765625,0.05126953125,0.01025390625
3,2048,0.7000000000000001,0.00439453125,0.0048828125,0.060546875,0.0087890625
