K,n,error.mm
2,128,0.0922756780688081
2,128,0.03125012866289645
2,256,0.1215699420048516
2,256,0.10680298636375007
2,256,0.10680208812121428
2,256,0.06176550942504899
2,256,0.10680298636375007
2,256,0.10680252922057154
2,256,0.06176715483961659
2,256,0.07690067395772282
2,256,0.07689971768594384
2,256,0.10680163900561224
2,256,0.10680298636375007
2,256,0.17941176470588238
2,256,0.09191176470588236
2,256,0.13621478185035618
2,256,0.03112778756979062
2,256,0.06176565575787396
2,256,0.09191317821112199
2,256,0.06176545933346467
2,256,0.13621516849490323
2,256,0.13621529737690663
2,256,0.10680308741698075
2,256,0.1935668305540068
2,256,0.09191313438352422
2,256,0.09191153591261358
2,256,0.061765203311080374
2,256,0.09191308986577085
2,256,0.07690027204349814
2,256,0.061764705882352944
2,256,0.07690082640904494
2,256,0.09191099758000376
2,256,0.13621503552166325
2,256,0.061765203311080374
2,256,0.031127519349524624
2,256,0.10680483903669824
2,256,0.13621478185035618
2,256,0.12156900401298598
2,256,0.06177058370606203
2,256,0.2215086337109522
2,256,0.10682434171676025
2,256,0.04650805699913274
2,256,0.0769035117302862
2,256,0.06176488769220356
2,256,0.1507325776279983
2,256,0.07689950980392157
2,256,0.13621369557504182
2,256,0.031127542606785075
2,256,0.10680288210268063
2,256,0.09191203525625524
2,256,0.06186705947339344
2,256,0.04650805699913274
2,256,0.12156851105955968
2,256,0.06176527566501733
2,256,0.046508149198776993
2,256,0.09191282483073626
2,256,0.06176488769220356
2,256,0.09191141685774329
2,256,0.13621241907026127
2,256,0.1507362449121561
2,256,0.09191300704215832
2,256,0.061765006425744895
2,256,0.1362129918579087
2,256,0.09191296045394193
2,256,0.13621492300604754
2,256,0.1068014705882353
2,256,0.01562522175717518
2,256,0.07690067395772282
2,256,0.09191204940497932
2,256,0.12157020902708049
2,256,0.07690038291596812
2,256,0.09191250492720304
2,256,0.06176562630572824
2,256,0.10680252922057154
2,256,0.07690046260575334
2,256,0.061764772901420795
2,256,0.10680163900561224
2,256,0.07698253017960544
2,256,0.04650742627955229
2,256,0.07690046260575334
2,256,0.01562519359718495
2,256,0.12156944219716548
2,256,0.09191275857221637
2,256,0.06176559638979806
2,256,0.046507459805744
2,256,0.09191275857221637
2,256,0.09191228958886177
2,256,0.12156875936152656
2,256,0.1215704390779414
2,256,0.09191222850749681
2,256,0.09191196658324197
2,256,0.1068024089203855
2,256,0.13621323529411766
2,256,0.1215704390779414
2,256,0.12156944219716548
2,256,0.1215686274509804
2,256,0.09191383010843635
2,256,0.15073573782025862
2,256,0.061764705882352944
2,256,0.1215699420048516
2,256,0.046508149198776993
2,256,0.09191296045394193
2,512,0.0616440533774526
2,512,0.09917755308112652
2,512,0.12133090106661892
2,512,0.05404553356061326
2,512,0.09173217871811201
2,512,0.06164403966017795
2,512,0.061645181903563384
2,512,0.0692118705217507
2,512,0.0692119305091331
2,512,0.11397772425998254
2,512,0.07675127323695186
2,512,0.09917763913300492
2,512,0.084255851887449
2,512,0.09173190529305808
2,512,0.0917322279270757
2,512,0.09917770506293955
2,512,0.10659251040152196
2,512,0.12133088268916858
2,512,0.07674894345365524
2,512,0.06921195594070839
2,512,0.0616440533774526
2,512,0.0616440680169037
2,512,0.09917748103133894
2,512,0.06164401222564697
2,512,0.08425599305588116
2,512,0.1213309112763159
2,512,0.054045459987335565
2,512,0.12133071136508888
2,512,0.06164389292030248
2,512,0.06164401636099748
2,512,0.08425590679498052
2,512,0.07674930626372622
2,512,0.09173222228787592
2,512,0.05404551501568167
2,512,0.07674956619241347
2,512,0.061643861437024716
2,512,0.14320897688726353
2,512,0.06922062317816635
2,512,0.06164405716699484
2,512,0.05405962658698282
2,512,0.12133092735659223
2,512,0.04641633314200655
2,512,0.09917732673201718
2,512,0.10659274998704038
2,512,0.11397688878333434
2,512,0.12133039010183833
2,512,0.12133085520808429
2,512,0.1359465702656324
2,512,0.09917748103133894
2,512,0.09173220562758233
2,512,0.0692119802074962
2,512,0.10659258636815305
2,512,0.07674917767242251
2,512,0.09917777627849478
2,512,0.05404541471157187
2,512,0.1286544310229868
2,512,0.08425589166979963
2,512,0.09173219602165006
2,512,0.09173202448748397
2,512,0.0917339016422074
2,512,0.09173224407277336
2,512,0.14320877805130094
2,512,0.09173196547987916
2,512,0.06921189433549957
2,512,0.12133143557492776
2,512,0.10659274998704038
2,512,0.06921183480115822
2,512,0.0540454685270807
2,512,0.03875672878145575
2,512,0.07674905168278379
2,512,0.0387568477460154
2,512,0.09173200203799747
2,512,0.054045365393415645
2,512,0.0842556742459255
2,512,0.06164399999250525
2,512,0.0767491901763292
2,512,0.06921172446876389
2,512,0.06164395286109414
2,512,0.06921172446876389
2,512,0.12133082253709015
2,512,0.10659242907822986
2,512,0.0464164911869549
2,512,0.0842559351547092
2,512,0.11397722382504971
2,512,0.12133109505115613
2,512,0.07674913348720103
2,512,0.12865433419073047
2,512,0.07674931087422032
2,512,0.02334580407373732
2,512,0.13594686286435953
2,512,0.10659269998194565
2,512,0.1576413779606839
2,512,0.0540453933369911
2,512,0.07674904104463454
2,512,0.11398557013245669
2,512,0.07674901348950935
2,512,0.10659277829089153
2,512,0.11397701698131535
2,512,0.061643905369534235
2,512,0.11398235402432111
2,1024,0.08417346220636834
2,1024,0.06914419707874597
2,1024,0.09536755834568988
2,1024,0.09536518605556044
2,1024,0.09908051462890555
2,1024,0.08791165310776072
2,1024,0.087911626344086
2,1024,0.06914412096850409
2,1024,0.06914412662119218
2,1024,0.10648829028956397
2,1024,0.0953652559512751
2,1024,0.08417337030758909
2,1024,0.10278830809399708
2,1024,0.11386550603979673
2,1024,0.12852832472510023
2,1024,0.087911626344086
2,1024,0.09164228275404629
2,1024,0.1138655160657619
2,1024,0.06536768542358407
2,1024,0.09908535062373325
2,1024,0.08042752242350282
2,1024,0.13217485138552643
2,1024,0.07291284824046917
2,1024,0.07667398219822741
2,1024,0.08042754886473702
2,1024,0.0653678274146885
2,1024,0.0653676640935198
2,1024,0.08042926518991522
2,1024,0.09536582558264395
2,1024,0.08791166441311105
2,1024,0.05779192721384008
2,1024,0.09908049967263999
2,1024,0.10648832324435586
2,1024,0.069144068052855
2,1024,0.09908053080877877
2,1024,0.10278947003844818
2,1024,0.08791170222581157
2,1024,0.08791167733351479
2,1024,0.08791161974545836
2,1024,0.09164223354924539
2,1024,0.10278829298716563
2,1024,0.07291297377117134
2,1024,0.1358137829912024
2,1024,0.13217485640385074
2,1024,0.08417344742007682
2,1024,0.09164225745214938
2,1024,0.07291287574492344
2,1024,0.06158362512239379
2,1024,0.08791954541113634
2,1024,0.10648835177413918
2,1024,0.053992565829460326
2,1024,0.11754263033578727
2,1024,0.11018068792766378
2,1024,0.11018059684054149
2,1024,0.08417510257442418
2,1024,0.11018070358116949
2,1024,0.09536526235852649
2,1024,0.08791160620981509
2,1024,0.08042753058524432
2,1024,0.07667406100716867
2,1024,0.07291289053048977
2,1024,0.0953663988806025
2,1024,0.10649471100565211
2,1024,0.08417338584126688
2,1024,0.1138655160657619
2,1024,0.09536516216189495
2,1024,0.11754267967315157
2,1024,0.06914410803900417
2,1024,0.09536528363260943
2,1024,0.09536846600860593
2,1024,0.06536769091336159
2,1024,0.069144083262769
2,1024,0.10278825068806141
2,1024,0.09908052454485572
2,1024,0.10278821480938416
2,1024,0.050185582643122895
2,1024,0.08042751362852452
2,1024,0.13217483596824986
2,1024,0.06914409618318629
2,1024,0.10278820927022225
2,1024,0.10648834494251624
2,1024,0.08042756024896724
2,1024,0.09164222490283491
2,1024,0.0841734551372243
2,1024,0.12487400548156835
2,1024,0.07291290600920242
2,1024,0.08042751936988612
2,1024,0.09908054496617202
2,1024,0.07667404955948764
2,1024,0.06914411312914348
2,1024,0.04637098440119991
2,1024,0.08791167569282843
2,1024,0.09536513880217767
2,1024,0.0804274917888429
2,1024,0.07667411252177514
2,1024,0.08791169599632709
2,1024,0.06536764813886953
2,1024,0.08042757926021671
2,1024,0.07291284824046917
2,1024,0.10278829298716563
2,2048,0.08600146949761445
2,2048,0.10088603105461869
2,2048,0.08973403721415762
2,2048,0.09717631535392401
2,2048,0.0897340381862971
2,2048,0.11748515746315713
2,2048,0.10643626249274629
2,2048,0.09345898489047677
2,2048,0.10828253465427828
2,2048,0.09717633954843463
2,2048,0.08226120693552208
2,2048,0.10458808132672637
2,2048,0.08786868354212785
2,2048,0.07475784232156246
2,2048,0.0915974798612057
2,2048,0.08038822777100074
2,2048,0.08786868651271285
2,2048,0.06533570613831985
2,2048,0.08973441291974005
2,2048,0.07475785317849815
2,2048,0.07475785107467903
2,2048,0.10273801907533131
2,2048,0.09531860695410455
2,2048,0.09159747508869498
2,2048,0.08600143880874178
2,2048,0.10088603024344378
2,2048,0.10088602232750798
2,2048,0.08600144692723555
2,2048,0.07851332660174604
2,2048,0.0653357051161465
2,2048,0.05586587226820805
2,2048,0.07851334516438757
2,2048,0.0915975900301077
2,2048,0.09903213350407991
2,2048,0.10458808730814984
2,2048,0.08786869911852246
2,2048,0.07851331315259247
2,2048,0.11012686963937768
2,2048,0.07287724443482202
2,2048,0.08226125703107301
2,2048,0.09531862383534573
2,2048,0.07287723785639211
2,2048,0.08786869040499135
2,2048,0.09717632793757336
2,2048,0.08600143715485298
2,2048,0.06533571723685738
2,2048,0.07663653899381273
2,2048,0.08226119471359727
2,2048,0.059659536043821126
2,2048,0.0915974553342983
2,2048,0.09531860949778392
2,2048,0.08226119199961146
2,2048,0.11748519289069714
2,2048,0.0766366883386238
2,2048,0.07851333847411601
2,2048,0.09903212824385632
2,2048,0.06911028367266969
2,2048,0.09717633677833226
2,2048,0.08413227645722954
2,2048,0.10088606223967833
2,2048,0.08600144071379878
2,2048,0.0934589936030299
2,2048,0.09159746354501153
2,2048,0.08038821951751551
2,2048,0.08600144723790737
2,2048,0.10088603240657712
2,2048,0.11380991921496941
2,2048,0.07287723814466651
2,2048,0.11748519854987738
2,2048,0.10643624920689221
2,2048,0.11748518174068812
2,2048,0.08413228673175155
2,2048,0.09345902054695099
2,2048,0.08226135913953014
2,2048,0.1008886102852884
2,2048,0.10088603422878195
2,2048,0.0915974638439605
2,2048,0.09345900778952021
2,2048,0.10458810066266588
2,2048,0.09345900679710561
2,2048,0.09903212145826334
2,2048,0.10273802448516556
